id,question,answer_type,target_field,model_name,error,trust_pass,issues,json_valid,schema_valid,predicted_fields_valid,field_scores_valid,target_field_consistency,confidence_sanity,likert_score_valid,format_contradiction_check
86,"Typically, i enjoy inventing a new way to visualize information. This describes me well.",Likert5,Full Stack Development,qwen2.5:7b-instruct,"Expecting ',' delimiter: line 8 column 31 (char 471)",0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
345,"I like problems that require careful reasoning, such as creating a plan for a complex project. (at work)",Likert5,Full Stack Development,qwen2.5:7b-instruct,"Expecting ',' delimiter: line 10 column 28 (char 446)",0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
469,"In general, i prefer to work with others on tasks like writing clear documentation for others.",Likert5,Full Stack Development,qwen2.5:7b-instruct,"Expecting ',' delimiter: line 10 column 25 (char 409)",0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
511,"Overall, i prefer to work with others on tasks like facilitating a group discussion. This describes me well.",Likert5,Full Stack Development,qwen2.5:7b-instruct,Expecting property name enclosed in double quotes: line 10 column 1 (char 417),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
325,"Most of the time, i like problems that require careful reasoning, such as optimizing code for performance.",Likert5,Full Stack Development,qwen2.5:7b-instruct,Unterminated string starting at: line 11 column 3 (char 427),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
873,I would be productive in an environment where you can experiment and fail safely. This is true for me.,Likert5,Full Stack Development,qwen2.5:7b-instruct,"Expecting ',' delimiter: line 9 column 32 (char 446)",0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
1562,Which domain best matches what you want to do day-to-day?,SingleChoice,AI Engineering,qwen2.5:7b-instruct,Unterminated string starting at: line 10 column 5 (char 419),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
583,"When it matters, i pay attention to details and often check my work for mistakes. This describes me well.",Likert5,AI Engineering,qwen2.5:7b-instruct,Unterminated string starting at: line 10 column 5 (char 404),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
581,"Overall, i pay attention to details and often check my work for mistakes. (when things are ambiguous)",Likert5,AI Engineering,qwen2.5:7b-instruct,Expecting property name enclosed in double quotes: line 10 column 4 (char 419),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
840,"Most of the time, i would be productive in a research-oriented environment with time for deep work.",Likert5,Full Stack Development,qwen2.5:7b-instruct,Expecting value: line 11 column 16 (char 421),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
497,I prefer to work with others on tasks like mentoring a junior teammate. I can relate to this.,Likert5,Full Stack Development,qwen2.5:7b-instruct,Expecting property name enclosed in double quotes: line 11 column 2 (char 426),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
1672,"If you could fix one problem in the world with technology, what would it be? (2–5 sentences)",OpenText,Full Stack Development,qwen2.5:7b-instruct,Unterminated string starting at: line 8 column 5 (char 506),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
806,"Most of the time, i prioritize helping society when choosing a role. (under time pressure) I can relate to this.",Likert5,Full Stack Development,qwen2.5:7b-instruct,Unterminated string starting at: line 9 column 5 (char 416),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
333,"I like problems that require careful reasoning, such as debugging a tricky bug that has multiple causes. (in a team) This describes me well.",Likert5,Full Stack Development,qwen2.5:7b-instruct,"Expecting ',' delimiter: line 10 column 28 (char 430)",0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
653,I regularly learn new tools or concepts outside of formal requirements. (when things are ambiguous) This describes me well.,Likert5,Full Stack Development,qwen2.5:7b-instruct,Expecting value: line 11 column 16 (char 432),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
357,"Typically, i like problems that require careful reasoning, such as reading documentation to figure out an unfamiliar tool.",Likert5,Full Stack Development,qwen2.5:7b-instruct,Unterminated string starting at: line 11 column 3 (char 427),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
1024,"Most of the time, i feel curious about applying technology in finance. (at work)",Likert5,Full Stack Development,qwen2.5:7b-instruct,Expecting value: line 8 column 27 (char 504),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
858,I would be productive in an office environment with daily in-person collaboration. (when things are ambiguous),Likert5,Full Stack Development,qwen2.5:7b-instruct,Expecting value: line 8 column 27 (char 503),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
1165,I would like a role where systems thinking matters a lot.,Likert5,AI Engineering,qwen2.5:7b-instruct,Expecting property name enclosed in double quotes: line 11 column 1 (char 424),0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
1249,"When it matters, i see patience as one of my strengths.",Likert5,AI Engineering,qwen2.5:7b-instruct,"Expecting ',' delimiter: line 9 column 32 (char 444)",0,Model call or JSON parse failed.,0,0,0,0,0,0,0,0
